Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,Price_Change_MoM,Price_Change_YoY
"Savannah, GA",City,2020,4,799,907,1047,1428,1668,-0.3,0.9
"Schaumburg, IL",City,2020,4,1248,1448,1704,2179,2593,-0.1,3.2
"Scottsdale, AZ",City,2020,4,907,1101,1372,1997,2317,-0.7,3.1
"Seattle, WA",City,2020,4,1187,1359,1693,2457,2922,0.2,1.8
"Severn, MD",City,2020,4,1111,1349,1692,2176,2548,-0.4,1.5
"Shawnee, KS",City,2020,4,683,864,1059,1448,1639,-0.4,1.9
"Sherman, TX",City,2020,4,619,761,968,1321,1482,0.1,0.9
"Sierra Vista, AZ",City,2020,4,702,706,882,1252,1554,0.5,2.6
"Sioux Falls, SD",City,2020,4,513,618,765,1036,1223,0.1,-0.9
"Slidell, LA",City,2020,4,808,943,1142,1464,1718,0.2,1.9
"Smyrna, GA",City,2020,4,1094,1147,1325,1740,2138,-0.5,0.3
"Snellville, GA",City,2020,4,1234,1295,1496,1963,2413,0.3,-0.3
"South Gate, CA",City,2020,4,832,991,1273,1730,1908,0.4,2.5
"Southfield, MI",City,2020,4,763,922,1200,1593,1728,-0.2,1.7
"Spanaway, WA",City,2020,4,1159,1327,1653,2399,2853,0.1,1.2
"Spring, TX",City,2020,4,994,1127,1379,1880,2389,-0.1,1.6
"Springfield, IL",City,2020,4,489,558,724,946,998,-0.1,0.4
"Springfield, MO",City,2020,4,498,539,701,1017,1105,0.1,3.2
"Springfield, OH",City,2020,4,508,557,722,930,1040,0,3
"Springfield, OR",City,2020,4,631,748,995,1442,1737,0.1,0.5
"St. Ann, MO",City,2020,4,571,647,840,1113,1299,1,8.3
"St. Clair Shores, MI",City,2020,4,626,757,985,1309,1419,0,1.1
"St. Joseph, MO",City,2020,4,579,636,827,1048,1295,0.1,1.1
"St. Louis, MO",City,2020,4,639,725,941,1247,1455,0.1,1
"St. Paul, MN",City,2020,4,800,986,1244,1761,2059,0,0.9
"St. Petersburg, FL",City,2020,4,851,971,1209,1598,1918,-0.2,1.5
"Stamford, CT",City,2020,4,1267,1549,1956,2473,2964,-0.3,2
"Sterling Heights, MI",City,2020,4,691,835,1087,1444,1566,0.1,1.5
"Stockton, CA",City,2020,4,832,993,1303,1880,2271,-0.1,2.2
"Sugar Land, TX",City,2020,4,1126,1277,1562,2130,2707,-0.8,-0.2
"Suisun City, CA",City,2020,4,1255,1564,1956,2846,3447,0.3,1.4
"Sumter, SC",City,2020,4,592,596,735,968,1086,-0.2,-1.9
"Suwanee, GA",City,2020,4,1547,1622,1874,2460,3024,-1,-1.1
"Syracuse, NY",City,2020,4,593,662,837,1096,1198,0.1,0
"Tacoma, WA",City,2020,4,1101,1261,1570,2279,2711,-0.1,0.2
"Tallahassee, FL",City,2020,4,777,818,1013,1343,1539,0.1,1.1
"Tampa, FL",City,2020,4,909,1038,1292,1708,2049,-0.4,2.1
"Tarpon Springs, FL",City,2020,4,785,897,1116,1476,1771,-0.1,1
"Taylor, MI",City,2020,4,570,689,897,1191,1292,0,1.4
"Tempe, AZ",City,2020,4,808,982,1223,1780,2065,-0.7,3.1
"Temple, TX",City,2020,4,598,611,808,1141,1416,-0.7,2.2
"Texarkana, AR",City,2020,4,509,578,729,930,1025,0.1,1.5
"Texarkana, TX",City,2020,4,554,629,794,1012,1115,-0.2,3
"Texas City, TX",City,2020,4,802,909,1112,1516,1927,-0.4,0.7
"The Colony, TX",City,2020,4,1017,1212,1506,2042,2601,-0.3,3.6
"Thornton, CO",City,2020,4,1245,1521,1925,2797,3239,-0.3,1.2
"Thousand Oaks, CA",City,2020,4,1733,2057,2714,3830,4507,-0.5,-1.1
"Toledo, OH",City,2020,4,494,593,776,1063,1162,0.1,0.6
"Tolleson, AZ",City,2020,4,824,1001,1247,1815,2105,0.6,3.4
"Topeka, KS",City,2020,4,510,610,804,1088,1316,0,3.3
"Torrance, CA",City,2020,4,1368,1628,2092,2843,3134,-0.1,1
"Towson, MD",City,2020,4,984,1195,1499,1927,2258,0.3,2.3
"Trenton, MI",City,2020,4,561,678,882,1172,1271,0,0.1
"Troy, MI",City,2020,4,829,1001,1303,1731,1878,-1.1,0.4
"Troy, NY",City,2020,4,691,819,1008,1261,1389,0.2,3.1
"Troy, OH",City,2020,4,514,573,748,1005,1186,0,1
"Tucson, AZ",City,2020,4,606,719,955,1390,1645,0.1,1.7
"Tulsa, OK",City,2020,4,550,651,841,1133,1247,0.1,1.5
"Turtle Creek, PA",City,2020,4,444,515,644,806,887,0.2,2.6
"Tuscaloosa, AL",City,2020,4,654,739,902,1164,1243,0.1,-0.4
"Tustin, CA",City,2020,4,1650,1964,2524,3430,3782,-0.1,1.8
"Twentynine Palms, CA",City,2020,4,556,665,831,1168,1439,0.1,-0.9
"Universal City, TX",City,2020,4,817,1006,1265,1673,2009,0.6,1.4
"Urbana, IL",City,2020,4,582,715,888,1115,1485,0.1,-0.3
"Utica, MI",City,2020,4,638,771,1004,1334,1447,-0.6,-2.4
"Valdosta, GA",City,2020,4,551,555,710,971,1250,0.2,-0.3
"Vancouver, WA",City,2020,4,1279,1423,1679,2444,2958,0,1.3
"Vandalia, OH",City,2020,4,447,499,651,876,1033,0.6,2.6
"Victoria, TX",City,2020,4,757,765,947,1284,1351,-0.2,1.3
"Victorville, CA",City,2020,4,954,1141,1427,2005,2470,0.3,3.5
"Virginia Beach, VA",City,2020,4,1090,1096,1319,1841,2297,0.2,2.4
"Visalia, CA",City,2020,4,802,808,1056,1530,1756,0,2.9
"Vista, CA",City,2020,4,1302,1442,1870,2693,3296,-0.2,0.8
"Waco, TX",City,2020,4,537,633,833,1132,1380,0,1.6
"Walnut Creek, CA",City,2020,4,2015,2477,3112,4187,4978,0.2,0.6
"Warner Robins, GA",City,2020,4,712,765,918,1188,1411,-0.1,1.3
"Washington, DC",City,2020,4,1303,1368,1581,2085,2585,-0.1,1.7
"Waterbury, CT",City,2020,4,814,930,1135,1449,1691,0.1,1.2
"Waukegan, IL",City,2020,4,744,864,1016,1300,1547,0.2,1.4
"Wausau, WI",City,2020,4,471,578,742,930,1102,0.4,1.6
